record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,wear_log_timestamp,wearlog_type,wearlog_event,wearlog_off,reason,wearlog_on,wearlog_bed,radius,wearlog_bag,wearlog_place,wearlog_motion,wearlog_past,wearlog_bp,wearlog_past_off,wearlog_past_on,wearlog_past_sleep,radius_past_time,radius_past,radius_past_back,wearlog_past_bag,wearlog_past_location,wearlog_past_motion,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,wear_log_complete
UCRS011,wear_log,23,,,1,,,,,,,,,,0,0,"2025-07-11 17:00",,,,,,0,"en el bolso sobre la mesa ",1,FCD6B470-5EBB-11F0-B91D-9F4E5CB59CA2,"2025-07-11 19:03:14","2025-07-11 19:04:21",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-11 19:04:22"",    ""utcTime"": ""2025-07-12 01:03:14.231797Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""34""  }",result.zip,0
UCRS011,wear_log,24,,,0,1,,,"2025-07-11 20:19",,,,,,,,,,,,,,,,,8E5D4C60-5EC6-11F0-B0B4-119DCB24B0A3,"2025-07-11 20:18:53","2025-07-11 20:19:08",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-11 20:19:08"",    ""utcTime"": ""2025-07-12 02:18:53.349959Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS011,wear_log,25,,,0,0,"2025-07-12 00:19",4,,,,1,,1,,,,,,,,,,,,38E83110-5EE8-11F0-9CCD-A380F321B9B6,"2025-07-12 00:19:52","2025-07-12 00:20:22",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-12 00:20:23"",    ""utcTime"": ""2025-07-12 06:19:52.865198Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS011,wear_log,26,,,0,0,"2025-07-12 09:47",2,,,,1,,1,,,,,,,,,,,,881876B0-5F37-11F0-89AC-5194C800C062,"2025-07-12 09:47:35","2025-07-12 09:48:01",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-12 09:48:02"",    ""utcTime"": ""2025-07-12 15:47:35.963812Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS011,wear_log,27,,,0,1,,,"2025-07-12 10:19",,,,,,,,,,,,,,,,,FD907F60-5F3B-11F0-89AC-5194C800C062,"2025-07-12 10:19:31","2025-07-12 10:19:42",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-12 10:19:43"",    ""utcTime"": ""2025-07-12 16:19:31.029394Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS011,wear_log,28,,,0,0,"2025-07-12 20:15",4,,,,1,,1,,,,,,,,,,,,44158B30-5F8F-11F0-BF33-B3F458B2A0FD,"2025-07-12 20:15:37","2025-07-12 20:16:21",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-12 20:16:22"",    ""utcTime"": ""2025-07-13 02:15:37.571402Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS011,wear_log,29,,,1,,,,,,,,,,1,0,,"2025-07-13 10:00",,,,,,,,5A98FB00-600A-11F0-8284-53A3D5D90CD9,"2025-07-13 10:56:43","2025-07-13 10:57:10",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-13 10:57:11"",    ""utcTime"": ""2025-07-13 16:56:43.440711Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""20""  }",result.zip,0
UCRS011,wear_log,30,,,1,,,,,,,,,,0,0,"2025-07-13 12:30",,,,,,0,"en la comoda",1,C5153410-601B-11F0-A166-97A036165D51,"2025-07-13 13:01:23","2025-07-13 13:03:01",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-13 13:03:02"",    ""utcTime"": ""2025-07-13 19:01:23.537667Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""34""  }",result.zip,0
UCRS011,wear_log,31,,,0,1,,,"2025-07-13 13:03",,,,,,,,,,,,,,,,,0056E190-601C-11F0-A166-97A036165D51,"2025-07-13 13:03:02","2025-07-13 13:03:15",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-13 13:03:15"",    ""utcTime"": ""2025-07-13 19:03:02.953126Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS011,wear_log,32,,,0,0,"2025-07-13 20:10",4,,,,1,,1,,,,,,,,,,,,B6A78AE0-6057-11F0-85A6-EBFDB2B699F0,"2025-07-13 20:10:29","2025-07-13 20:10:55",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-13 20:10:55"",    ""utcTime"": ""2025-07-14 02:10:29.134804Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS011,wear_log,33,,,0,6,,,,,,,,,,,,,,,,,,,,742AC300-60D7-11F0-903F-4BA79FFE8536,"2025-07-14 11:24:53","2025-07-14 11:25:04",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-14 11:25:05"",    ""utcTime"": ""2025-07-14 17:24:53.168085Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""10""  }",result.zip,0
