record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,wear_log_timestamp,wearlog_type,wearlog_event,wearlog_off,reason,wearlog_on,wearlog_bed,radius,wearlog_bag,wearlog_place,wearlog_motion,wearlog_past,wearlog_bp,wearlog_past_off,wearlog_past_on,wearlog_past_sleep,radius_past_time,radius_past,radius_past_back,wearlog_past_bag,wearlog_past_location,wearlog_past_motion,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,wear_log_complete
"UCRS008,wear_log,22,,,0,1,,,""2025-07-03 11:54"",,,,,,,,,,,,,,,,,B0949090-5836-11F0-A780-DB6F8E2EA3E9,""2025-07-03 11:53:56"",""2025-07-03 11:54:06"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-03 11:54:07"""",    """"utcTime"""": """"2025-07-03 17:53:56.249562Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS008,wear_log,23,,,0,2,,,,""2025-07-03 23:29"",,,,,,,,,,,,,,,,C73BDAE0-5897-11F0-AEDA-1368E030B30B,""2025-07-03 23:28:55"",""2025-07-03 23:29:10"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-03 23:29:11"""",    """"utcTime"""": """"2025-07-04 05:28:55.438044Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS008,wear_log,24,,,0,0,""2025-07-04 08:00"",2,,,,0,mesa,1,,,,,,,,,,,,37350BE0-58DF-11F0-AEDA-1368E030B30B,""2025-07-04 08:00:17"",""2025-07-04 08:00:47"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-04 08:00:47"""",    """"utcTime"""": """"2025-07-04 14:00:17.566722Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"34""""  }"",result.zip,0"
"UCRS008,wear_log,25,,,0,1,,,""2025-07-04 09:20"",,,,,,,,,,,,,,,,,65132370-58EA-11F0-AEDA-1368E030B30B,""2025-07-04 09:20:18"",""2025-07-04 09:20:35"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-04 09:20:35"""",    """"utcTime"""": """"2025-07-04 15:20:18.983188Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS008,wear_log,26,,,0,2,,,,""2025-07-04 23:44"",,,,,,,,,,,,,,,,28A91790-5963-11F0-81E3-7F48C6057A45,""2025-07-04 23:44:46"",""2025-07-04 23:45:09"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-04 23:45:10"""",    """"utcTime"""": """"2025-07-05 05:44:46.729587Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS008,wear_log,27,,,0,1,,,""2025-07-05 08:37"",,,,,,,,,,,,,,,,,9757BFD0-59AD-11F0-81E3-7F48C6057A45,""2025-07-05 08:37:35"",""2025-07-05 08:37:49"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-05 08:37:49"""",    """"utcTime"""": """"2025-07-05 14:37:35.181137Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS008,wear_log,28,,,0,0,""2025-07-05 09:13"",2,,,,0,mesa,1,,,,,,,,,,,,97C842A0-59B2-11F0-81E3-7F48C6057A45,""2025-07-05 09:13:23"",""2025-07-05 09:14:12"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-05 09:14:13"""",    """"utcTime"""": """"2025-07-05 15:13:23.402240Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"34""""  }"",result.zip,0"
"UCRS008,wear_log,29,,,0,1,,,""2025-07-05 09:52"",,,,,,,,,,,,,,,,,076B1C40-59B8-11F0-81E3-7F48C6057A45,""2025-07-05 09:52:18"",""2025-07-05 09:52:30"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-05 09:52:30"""",    """"utcTime"""": """"2025-07-05 15:52:18.179979Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS008,wear_log,30,,,0,2,,,,""2025-07-05 23:36"",,,,,,,,,,,,,,,,2985E620-5A2B-11F0-9212-4B91A7C96B64,""2025-07-05 23:36:27"",""2025-07-05 23:36:38"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-05 23:36:39"""",    """"utcTime"""": """"2025-07-06 05:36:27.522790Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS008,wear_log,31,,,0,1,,,""2025-07-06 08:13"",,,,,,,,,,,,,,,,,3ABE46A0-5A74-11F0-9212-4B91A7C96B64,""2025-07-06 08:19:29"",""2025-07-06 08:19:46"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-06 08:19:47"""",    """"utcTime"""": """"2025-07-06 14:19:29.674729Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
